Directed by,Original air date,Production code,Season no.,Series no.,Title,U.S. Viewers (millions)[29],Written by,nth_season
Jean de Segonzac,2001-09-30,E2101,1,1,"One""[30]",12.80,Teleplay by: Rene Balcer Story by: Dick Wolf,1
David Platt,2001-10-07,E2110,2,2,"Art""[31]",11.30,Elizabeth M. Cosin,1
Michael Fields,2001-10-14,E2111,3,3,"Smothered""[32]",14.50,Marlane Gomard Meyer,1
Constantine Makris,2001-10-17,E2104,4,4,"The Faithful""[33]",19.30,Stephanie Sengupta,1
Frank Prinzi,2001-10-21,E2114,5,5,"Jones""[34]",13.10,Teleplay by: Geoffrey Neigher Story by: Geoffrey Neigher & René Balcer,1
Jean de Segonzac,2001-10-28,E2106,6,6,"The Extra Man""[35]",12.60,Marlane Gomard Meyer,1
Gloria Muzio,2001-11-11,E2108,7,7,"Poison""[36]",11.80,Stephanie Sengupta,1
Steve Shill,2001-11-18,E2112,8,8,"The Pardoner's Tale""[37]",12.80,Theresa Rebeck,1
Constantine Makris,2001-11-25,E2103,9,9,"The Good Doctor""[38]",14.00,Geoffrey Neigher,1
John David Coles,2001-12-09,E2107,10,10,"Enemy Within""[39]",10.80,David Black,1
Constantine Makris,2002-01-06,E2115,11,11,"The Third Horseman""[40]",12.30,René Balcer,1
Steve Shill,2002-01-13,E2102,12,12,"Crazy""[41]",13.30,René Balcer,1
Jan Egleson,2002-01-27,E2105,13,13,"The Insider""[42]",13.00,Elizabeth M. Cosin,1
David Platt,2002-03-03,E2113,14,14,"Homo Homini Lupis""[43]",11.60,René Balcer,1
Gloria Muzio,2002-03-10,E2118,15,15,"Semi-Professional""[44]",8.60,Teleplay by: Stephanie Sengupta Story by: Stephanie Sengupta & René Balcer,1
Juan J. Campanella,2002-03-17,E2116,16,16,"Phantom""[45]",11.90,Teleplay by: Marlane Gomard Meyer Story by: Marlane Gomard Meyer & René Balcer,1
Michael Fields,2002-03-31,E2119,17,17,"Seizure""[46]",11.70,Teleplay by: Hall Powell Story by: Hall Powell & René Balcer,1
Jean de Segonzac,2002-04-14,E2117,18,18,"Yesterday""[47]",10.30,Teleplay by: Theresa Rebeck Story by: Theresa Rebeck & René Balcer,1
Frank Prinzi,2002-04-21,E2122,19,19,"Maledictus""[48]",11.50,Teleplay by: Stephanie Sengupta Story by: Stephanie Sengupta & René Balcer,1
Constantine Makris,2002-04-28,E2124,20,20,"Badge""[49]",13.40,Teleplay by: Marlane Gomard Meyer Story by: Marlane Gomard Meyer & René Balcer,1
Ed Sherin,2002-04-28,E2121,21,21,"Faith""[50]",15.30,Teleplay by: Theresa Rebeck Story by: Theresa Rebeck & René Balcer,1
Steve Shill,2002-05-10,E2127,22,22,"Tuxedo Hill""[51]",15.20,René Balcer,1
