Directed by,Original air date,Production code,Season no.,Series no.,Title,Written by,nth_season
Steve Shill,2003-09-28,E4502,1,46,"Undaunted Mettle""[76]",René Balcer & Stephanie Sengupta,3
Frank Prinzi,2003-10-05,E4503,2,47,"Gemini""[77]",René Balcer & Jim Sterling,3
Alex Zakrzewski,2003-10-12,E4501,3,48,"The Gift""[78]",René Balcer & Marlane Gomard Meyer,3
Constantine Makris,2003-10-19,E4504,4,49,"But Not Forgotten""[79]",René Balcer & Gerry Conway,3
Alex Zakrzewski,2003-10-26,E4509,5,50,"Pravda""[80]",René Balcer & Warren Leight,3
Frank Prinzi,2003-11-02,E4511,6,51,"Stray""[81]",René Balcer & Elizabeth Benjamin,3
Steve Shill,2003-11-09,E4512,7,52,"A Murderer Among Us""[82]",René Balcer & Diana Son,3
Jean de Segonzac & Frank Prinzi,2003-11-16,E4513,8,53,"Sound Bodies""[83]",René Balcer,3
Frank Prinzi,2003-11-23,E4508,9,54,"Happy Family""[84]",René Balcer & Marlane Gomard Meyer,3
Darnell Martin,2004-01-04,E4506,10,55,"F.P.S.""[85]",René Balcer & Gerry Conway,3
Christopher Swartout,2004-01-11,E4514,11,56,"Mad Hops""[86]",René Balcer & Jim Sterling,3
Jean de Segonzac,2004-01-18,E4507,12,57,"Unrequited""[87]",René Balcer & Stephanie Sengupta,3
Frank Prinzi,2004-02-15,E4516,13,58,"Pas de Deux""[88]",René Balcer & Warren Leight,3
Joyce Chopra,2004-02-22,E4515,14,59,"Mis-Labeled""[89]",René Balcer & Elizabeth Benjamin,3
Jean de Segonzac,2004-03-07,E4510,15,60,"Shrink-Wrapped""[90]",René Balcer & Diana Son,3
Frank Prinzi,2004-03-14,E4517,16,61,"The Saint""[91]",René Balcer & Marlane Gomard Meyer,3
Alex Chapple,2004-03-28,E4519,17,62,"Conscience""[92]",René Balcer & Gerry Conway,3
Steve Shill,2004-04-18,E4520,18,63,"Ill-Bred""[93]",René Balcer & Jim Sterling,3
Alex Zakrzewski,2004-05-09,E4518,19,64,"Fico di Capo""[94]",René Balcer & Stephanie Sengupta,3
Frank Prinzi,2004-05-16,E4522,20,65,"D.A.W.""[95]",René Balcer & Warren Leight,3
Steve Shill,2004-05-23,E4524,21,66,"Consumed""[96]",René Balcer & Warren Leight,3
