Directed by,Original air date,Production code,Season no.,Series no.,Title,U.S. Viewers (million),Written by,nth_season
Frank Prinzi,2004-09-26,E5404,1,67,"Semi-Detached""[97]",12.67,René Balcer & Gerry Conway,4
Jean de Segonzac,2004-10-03,E4525,2,68,"The Posthumous Collection""[99]",11.00,René Balcer & Marlane Gomard Meyer,4
Frank Prinzi,2004-10-10,E5407,3,69,"Want""[101]",12.81,René Balcer & Elizabeth Benjamin,4
Frank Prinzi,2004-10-17,E5402,4,70,"Great Barrier""[103]",11.92,René Balcer & Diana Son,4
Alex Zakrzewski,2004-10-24,E5401,5,71,"Eosphoros""[105]",12.40,René Balcer & Stephanie Sengupta,4
Alex Chapple,2004-10-31,E5403,6,72,"In the Dark""[107]",11.51,René Balcer & Jim Sterling,4
Frank Prinzi,2004-11-07,E5414,7,73,"Magnificat""[109]",11.53,René Balcer & Diana Son,4
Kevin Dowling,2004-11-14,E5409,8,74,"Silver Lining""[111]",15.16,René Balcer & Marlane Gomard Meyer,4
Alex Chapple,2004-11-21,E5408,9,75,"Inert Dwarf""[113]",13.47,René Balcer & Warren Leight,4
Alex Chapple,2005-01-02,E5410,10,76,"View from up Here""[115]",14.85,René Balcer & Jim Sterling,4
Christopher Swartout,2005-01-09,E5406,11,77,"Gone""[117]",13.23,René Balcer & Stephanie Sengupta,4
Frank Prinzi,2005-01-30,E5411,12,78,"Collective""[119]",14.26,René Balcer & Gerry Conway,4
Frank Prinzi,2005-02-13,E5416,13,79,"Stress Position""[121]",13.53,"René Balcer, Warren Leight & Charlie Rubin",4
Alex Chapple,2005-02-20,E5415,14,80,"Sex Club""[123]",9.04,René Balcer & Elizabeth Benjamin,4
Rick Wallace,2005-03-13,E5405,15,81,"Death Roe""[125]",15.72,René Balcer & Warren Leight,4
Bill L. Norton,2005-03-20,E5419,16,82,"Ex Stasis""[127]",12.35,René Balcer & Diana Son,4
Darnell Martin,2005-03-27,E5418,17,83,"Shibboleth""[129]",10.70,René Balcer & Stephanie Sengupta,4
Jean de Segonzac,2005-04-03,E5421,18,84,"The Good Child""[131]",12.98,René Balcer & Marlane Gomard Meyer,4
Frank Prinzi,2005-04-10,E5420,19,85,"Beast""[133]",10.94,René Balcer & Gina Gionfriddo,4
Jean de Segonzac,2005-05-01,E5423,20,86,"No Exit""[135]",11.60,René Balcer & Gerry Conway,4
Frank Prinzi,2005-05-08,E5424,21,87,"The Unblinking Eye""[137]",11.54,René Balcer & Jim Sterling,4
Alex Zakrzewski,2005-05-15,E5422,22,88,"My Good Name""[139]",10.32,René Balcer & Warren Leight,4
Jean de Segonzac,2005-05-25,E5426,23,89,"False-Hearted Judges""[141]",14.98,René Balcer & Diana Son,4
