Directed by,Original air date,Production code,Season no.,Series no.,Title,U.S. Viewers (millions),Written by,nth_season
Michael Smith,2009-04-19,08009,1,156,Playing Dead,4.57,Antoinette Stella,8
Bill D'Elia,2009-04-26,08008,2,157,Rock Star,4.10,Ed Zuckerman,8
Michael Smith,2009-05-03,08005,3,158,Identity Crisis,3.14,Pamela Wechsler,8
Jean de Segonzac,2009-05-10,08010,4,159,In Treatment,3.14,Timothy J. Lea,8
Jean de Segonzac,2009-05-17,08001,5,160,Faithfully,3.70,Antoinette Stella,8
Norberto Barba,2009-05-31,08004,6,161,Astoria Helen,3.97,Timothy J. Lea,8
David Manson,2009-06-07,08003,7,162,Folie à Deux,3.90,Michael S. Chernuchin,8
Norberto Barba,2009-06-14,08002,8,163,The Glory That Was...,4.14,Robert Nathan,8
Jean de Segonzac,2009-06-21,08015,9,164,Family Values,3.44,Teleplay by: Walon Green Story by: Walon Green & Antoinette Stella,8
Steve Shill,2009-06-28,08006,10,165,"Salome in Manhattan"" ""Salome",N/A,Andrew Lipsitz,8
Ken Girotti,2009-06-28,08011,11,166,Lady's Man,N/A,Michael S. Chernuchin,8
Jonathan Herron,2009-07-12,08012,12,167,Passion,3.47,Michael S. Chernuchin,8
David Manson,2009-07-19,08013,13,168,All In,4.14,"Teleplay by: Pamela Wechsler, Antoinette Stella, & Walon Green Story by: Pamela Wechsler",8
Chris Zalla,2009-07-26,08014,14,169,Major Case,4.63,Andrew Lipsitz,8
Norberto Barba,2009-08-02,08007,15,170,Alpha Dog,4.23,Walon Green,8
John David Coles,2009-08-09,08016,16,171,Revolution,4.83,Michael S. Chernuchin,8
