Directed by,Original air date,Production code,Season no.,Series no.,Title,U.S. viewers (millions),Written by,nth_season
Jean de Segonzac,2010-03-30,09001,1,172,"Loyalty (Part 1)"" ""Puntland""[281]",3.56,Walon Green,9
Jean de Segonzac,2010-04-06,09002,2,173,"Loyalty (Part 2)"" ""Artifice""[283]",3.47,Barbara Hall,9
Omar Madha,2010-04-13,09003,3,174,Broad Channel,3.21,Mark Malone,9
Tom DiCillo,2010-04-20,09006,4,175,Delicate,3.53,Nicole Mirante-Matthews,9
Jonathan Herron,2010-04-27,09007,5,176,Gods & Insects,2.82,Ted Sullivan,9
Kevin Bray,2010-05-04,09008,6,177,Abel & Willing,2.82,Michael Angeli,9
Jim Hayman,2010-05-11,09011,7,178,Love Sick,3.02,Nicole Mirante-Matthews,9
Ken Girotti,2010-05-18,09009,8,179,Love on Ice,2.55,David Klass & James Sadwith,9
Chris Zalla,2010-05-25,09012,9,180,Traffic,2.86,Antoniette Stella,9
Christine Moore,2010-06-01,09010,10,181,Disciple,3.08,Walon Green & Michael Angeli,9
John David Coles,2010-06-08,09004,11,182,Lost Children of the Blood,2.97,Christine Bailey,9
Yon Motskin,2010-06-15,09013,12,183,True Legacy,N/A,Antoinette Stella,9
Jean de Segonzac,2010-06-22,09015,13,184,The Mobster Will See You Now,N/A,Michael Angeli,9
Darnell Martin,2010-06-29,09014,14,185,Palimpsest,2.79,Mark Malone,9
Michael Smith,2010-07-06,09005,15,186,Inhumane Society,2.99,Courtney Parker & Geoffrey Thorne,9
Arthur W. Forney,2010-07-06,09016,16,187,Three-In-One,2.99,Walon Green & David Klass,9
