season,season_num,series_num,title,director,writer,code,viewership
1,1,1,Payback,Jean de Segonzac,Dick Wolf,E0901,
1,2,2,A Single Life,Lesli Linka Glatter,Miriam Kazdin,E0903,
1,3,3,...Or Just Look Like One,Rick Rosenthal,Michael R. Perry,E0907,
1,4,4,Hysteria,Richard Dobbs,Dawn DeNoon & Lisa Marie Petersen,E0908,
1,5,5,Wanderlust,David Hugh Jones,Wendy West,E0905,
1,6,6,Sophomore Jinx,Clark Johnson,John Chambers,E0904,
1,7,7,Uncivilized,Michael Fields,Teleplay: Robert Palm & Wendy West Story: Robert Palm,E0912,
1,8,8,Stalked,Peter Medak,Roger Garrett,E0911,
1,9,9,Stocks & Bondage,Constantine Makris,Michael R. Perry,E0914,
1,10,10,Closure (Part I),Steve Wertimer,Wendy West,E0915,
1,11,11,Bad Blood,Michael Fields,Lisa Marie Petersen & Dawn DeNoon,E0916,
1,12,12,Russian Love Poem,Rick Rosenthal,Eva Nagorski,E0913,14300000.0
1,13,13,Disrobed,David Platt,Janet Tamaro,E0910,
1,14,14,Limitations,Constantine Makris,Michael R. Perry,E0919,
1,15,15,Entitled,Ed Sherin,"Teleplay: Robert Palm & Wendy West Story: Dick Wolf, Robert Palm, & René Balcer",E0918,
1,16,16,The Third Guy,Jud Taylor,Dawn DeNoon & Lisa Marie Petersen,E0920,
1,17,17,Misleader,Richard Dobbs,Teleplay: Nick Kendrick Story: Nick Harding & Nick Kendrick,E0912,
1,18,18,Chat Room,Richard Dobbs,Roger Garrett,E0923,
1,19,19,Contact,Michael Zinberg,Robert Palm & Wendy West,E0921,12840000.0
1,20,20,Remorse,Alexander Cassini,Michael R. Perry,E0924,
1,21,21,Nocturne,Jean de Segonzac,Wendy West,E0922,13700000.0
1,22,22,Slaves,Ted Kotcheff,Dawn DeNoon & Lisa Marie Petersen,E0926,
2,1,23,Wrong Is Right,Ted Kotcheff,David J. Burke & Jeff Eckerle,E1403,13390000.0
2,2,24,Honor,Alan Metzger,Robert F. Campbell & Jonathan Greene,E1407,13200000.0
2,3,25,Closure (Part II),Jean de Segonzac,"Teleplay: David J. Burke, Judith McCreary, & Wendy West Story: Wendy West",E1409,13400000.0
2,4,26,Legacy,Jud Taylor,Jeff Eckerle,E1401,13400000.0
2,5,27,Baby Killer,Juan J. Campanella,Dawn DeNoon & Lisa Marie Petersen,E1411,12800000.0
2,6,28,Noncompliance,Elodie Keene,Judith McCreary,E1417,15400000.0
2,7,29,Asunder,David Platt,Judith McCreary,E1404,15430000.0
2,8,30,Taken,Michael Fields,Dawn DeNoon & Lisa Marie Petersen,E1406,14310000.0
2,9,31,Pixies,Jean de Segonzac,"Teleplay: Tracey Stern Story: Clifton Campbell, Jeff Eckerle, & Tracey Stern",E1416,14800000.0
2,10,32,Consent,James Quinn,Jeff Eckerle,E1419,13600000.0
2,11,33,Abuse,Richard Dobbs,"Teleplay: Dawn DeNoon & Lisa Marie Petersen Story: Dawn DeNoon, Lisa Marie Petersen, & Gwendolyn M. Parker",E1415,15200000.0
2,12,34,Secrets,Arthur W. Forney,"Teleplay: Robert F. Campbell & Jonathan Greene Story: Robert F. Campbell, Jonathan Greene, & Wendy West",E1416,15720000.0
2,13,35,Victims,Constantine Makris,Nick Kendrick,E1420,14900000.0
2,14,36,Paranoia,Richard Dobbs,Robert F. Campbell & Jonathan Greene,E1426,14100000.0
2,15,37,Countdown,Steve Shill,Dawn DeNoon & Lisa Marie Petersen,E1412,15500000.0
2,16,38,Runaway,Richard Dobbs,David J. Burke & Nick Kendrick,E1405,14560000.0
2,17,39,Folly,Jud Taylor,Todd Robinson,E1428,14300000.0
2,18,40,Manhunt,Stephen Wertimer,Jeff Eckerle,E1431,12700000.0
2,19,41,Parasites,David Platt,Martin Weiss,E1427,13400000.0
2,20,42,Pique,Steve Shill,Judith McCreary,E1422,14300000.0
2,21,43,Scourge,Alex Zakrzewski,Teleplay: Robert F. Campbell & Jonathan Greene Story: Neal Baer,E1432,15060000.0
3,1,44,Repression,Henry J. Bronchtein,Marilyn Osborn,E2310,15800000.0
3,2,45,Wrath,Jean de Segonzac,Judith McCreary,E2314,15040000.0
3,3,46,Stolen,James Quinn,Robert F. Campbell & Jonathan Greene,E2315,17200000.0
3,4,47,Rooftop,Steve Shill,"Teleplay: Robert F. Campbell & Jonathan Greene Story: Neal Baer, Robert F. Campbell, & Jonathan Greene",E2318,15440000.0
3,5,48,Tangled,Jean de Segonzac,Dawn DeNoon & Lisa Marie Petersen,E2312,16500000.0
3,6,49,Redemption,Ted Kotcheff,Jeff Eckerle,E2319,14580000.0
3,7,50,Sacrifice,Lesli Linka Glatter,Teleplay: Samantha Howard Corbin & Javier Grillo-Marxuach Story: Javier Grillo-Marxuach,E2309,16200000.0
3,8,51,Inheritance,Juan J. Campanella,"Teleplay: Tara Butters, Kathy Ebel, & Michele Fazekas Story: Kathy Ebel",E2311,14500000.0
3,9,52,Care,Gloria Muzio,Dawn DeNoon & Lisa Marie Petersen,E2317,14860000.0
3,10,53,Ridicule,Constantine Makris,Judith McCreary,E2316,15330000.0
3,11,54,Monogamy,Constantine Makris,Tara Butters & Michele Fazekas,E2323,17710000.0
3,12,55,Protection,Alex Zakrzewski,Robert F. Campbell & Jonathan Greene,E2327,17000000.0
