Directed by,No. in season,No. in series,Original air date,Production Code,Title,Written by,nth_season
Constantine Makris,1,302,2003-09-24,E4302,Bodies,William N. Fordes & Michael S. Chernuchin,14
Matthew Penn,2,303,2003-10-01,E4304,Bounty,Michael S. Chernuchin,14
David Platt,3,304,2003-10-08,E4301,Patient Zero,Wendy Battles,14
Jace Alexander,4,305,2003-10-22,E4305,Shrunk,Richard Sweren,14
Gloria Muzio,5,306,2003-10-29,E4309,Blaze,"Marc Guggenheim, Michael S. Chernuchin, & Aaron Zelman",14
Jace Alexander,6,307,2003-11-05,E4311,Identity,Janis Diamond,14
Richard Dobbs,7,308,2003-11-12,E4307,Floater,Eric Overmyer,14
Ed Sherin,8,309,2003-11-19,E4303,Embedded,Craig Turk,14
Constantine Makris,9,310,2003-11-26,E4308,Compassion,Roz Weinman,14
David Platt,10,311,2003-12-03,E4306,Ill-Conceived,"Aaron Zelman, Noah Baylin, & Michael S. Chernuchin",14
Jace Alexander,11,312,2004-01-07,E4313,Darwinian,Marc Guggenheim,14
Constantine Makris,12,313,2004-01-14,E4310,Payback,Lorenzo Carcaterra,14
Richard Dobbs,13,314,2004-02-04,E4315,Married with Children,Wendy Battles & William N. Fordes,14
Gloria Muzio,14,315,2004-02-11,E4318,City Hall,Marc Guggenheim & Richard Sweren,14
David Platt,15,316,2004-02-18,E4314,Veteran's Day,Noah Baylin,14
Don Scardino,16,317,2004-02-25,E4320,Can I Get a Witness?,Aaron Zelman,14
Gloria Muzio,17,318,2004-03-03,E4316,Hands Free,Janis Diamond,14
Constantine Makris,18,319,2004-03-24,E4326,Evil Breeds,Noah Baylin & Barry Schindel,14
Martha Mitchell,19,320,2004-03-31,E4324,Nowhere Man,William N. Fordes,14
Richard Dobbs,20,321,2004-04-14,E4327,Everybody Loves Raimondo's,Lorenzo Carcaterra & Richard Sweren,14
David Platt,21,322,2004-04-21,E4317,Vendetta,David Nahmod & Michael S. Chernuchin,14
Jace Alexander,22,323,2004-04-28,E4325,Gaijin,Wendy Battles,14
Richard Dobbs,23,324,2004-05-12,E4321,Caviar Emptor,Roz Weinman,14
Matthew Penn,24,325,2004-05-19,E4319,C.O.D.,Richard Sweren & Marc Guggenheim,14
