Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Fred Berner,1,434,2009-09-25,20001,Memo from the Dark Side,6.29,Keith Eisner & René Balcer,20
M.T. Adler,2,435,2009-10-02,20002,Just a Girl in the World,6.68,Richard Sweren & Christopher Ambrose,20
Michael Dinner,3,436,2009-10-09,20003,Great Satan,7.23,Luke Schelhaas & Ed Zuckerman,20
Constantine Makris,4,437,2009-10-16,20004,Reality Bites,7.60,Luke Schelhaas & Ed Zuckerman,20
Jim McKay,5,438,2009-10-23,20005,Dignity,7.17,Julie Martin & Richard Sweren,20
Darnell Martin,6,439,2009-10-30,20006,Human Flesh Search Engine,7.00,Matthew McGough & Ed Zuckerman,20
Rose Troche,7,440,2009-11-06,20007,Boy Gone Astray,7.99,Keith Eisner & René Balcer,20
Mario Van Peebles,8,441,2009-11-06,20008,Doped,8.41,Christopher Ambrose & Richard Sweren,20
William Klayer,9,442,2009-11-13,20009,For the Defense,7.50,Luke Schelhaas & Ed Zuckerman,20
Roger Young,10,443,2009-11-20,20010,Shotgun,7.52,Richard Sweren & Julie Martin,20
Alex Chapple,11,444,2009-12-11,20011,Fed,8.77,Keith Eisner & René Balcer,20
Marc Levin,12,445,2010-01-15,20012,Blackmail,7.32,Matthew McGough & Ed Zuckerman,20
Michael Pressman,13,446,2010-03-01,20013,Steel-Eyed Death,7.58,"Richard Sweren, Christopher Ambrose, & Julie Martin",20
Rose Troche,14,447,2010-03-01,20014,Boy on Fire,7.86,Teleplay by: Luke Schelhaas & Matthew McGough Story by: Ed Zuckerman & Matthew McGough,20
Alex Chapple,15,448,2010-03-08,20015,Brilliant Disguise,5.18,Teleplay by: Keith Eisner Story by: Keith Eisner & René Balcer,20
Fred Berner,16,449,2010-03-15,20016,Innocence,6.90,Richard Sweren & Julie Martin,20
Jim McKay,17,450,2010-03-22,20017,Four Cops Shot,5.93,"Matt McGough, Luke Schelhaas, & Ed Zuckerman",20
Jean de Segonzac,18,451,2010-03-29,20018,Brazil,6.01,Teleplay by: Keith Eisner Story by: Keith Eisner & René Balcer,20
Darnell Martin,19,452,2010-05-03,20019,Crashers,6.18,"Richard Sweren, Christopher Ambrose, & Julie Martin",20
Fred Berner,20,453,2010-05-10,20020,The Taxman Cometh,6.17,Teleplay by: William N. Fordes Story by: William N. Fordes & Ed Zuckerman,20
Jim McKay,21,454,2010-05-17,20021,Immortal,5.91,Richard Sweren & Julie Martin,20
William Klayer,22,455,2010-05-17,20022,Love Eternal,6.24,Ed Zuckerman,20
René Balcer,23,456,2010-05-24,20023,Rubber Room,7.60,René Balcer,20
