Directed by,No. in season,No. in series,Original air date,Title,Written by,nth_season
Martha Mitchell,1,158,1997-09-24,Thrill,René Balcer,8
Christopher Misiano,2,159,1997-10-08,Denial,René Balcer & David Shore,8
Jace Alexander,3,160,1997-10-15,Navy Blues,Kathy McCormick & Dick Wolf,8
Matthew Penn,4,161,1997-10-29,Harvest,I. C. Rapoport & René Balcer,8
Constantine Makris,5,162,1997-11-05,Nullification,David Black,8
Ed Sherin,6,163,1997-11-12,"Baby, It's You",Jorge Zamacona,8
Jace Alexander,7,164,1997-11-19,Blood,Craig Tepper & René Balcer,8
Matthew Penn,8,165,1997-11-26,Shadow,Richard Sweren,8
Constantine Makris,9,166,1997-12-10,Burned,Siobhan B. O'Connor,8
Brian Mertes,10,167,1997-12-17,Ritual,Kathy McCormick & Richard Sweren,8
Adam Davidson,11,168,1998-01-07,Under the Influence,René Balcer,8
Lewis H. Gould,12,169,1998-01-21,Expert,David Shore & I. C. Rapoport,8
Gloria Muzio,13,170,1998-01-28,Castoff,David Black & Harold Schecter,8
Christopher Misiano,14,171,1998-02-04,Grief,Suzanne Oshry,8
Martha Mitchell,15,172,1998-02-25,Faccia a Faccia,René Balcer & Eddie Feldmann,8
Constantine Makris,16,173,1998-03-04,Divorce,Barry M. Schkolnick,8
J. Ranelli,17,174,1998-04-01,Carrier,David Black,8
Richard Dobbs,18,175,1998-04-15,Stalker,Kathy McCormick,8
David Platt,19,176,1998-04-22,Disappeared,Richard Sweren & William N. Fordes,8
Constantine Makris,20,177,1998-04-24,Burden,David Shore & I. C. Rapoport,8
Jace Alexander,21,178,1998-04-28,Bad Girl,Richard Sweren & René Balcer,8
Constantine Makris,22,179,1998-05-06,Damaged,Janis Diamond,8
Brian Mertes,23,180,1998-05-13,Tabloid,David Black & Alec Baldwin,8
Ed Sherin,24,181,1998-05-20,Monster,Richard Sweren & René Balcer,8
