Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Jean de Segonzac,1,1,1999-09-20,E0901,Payback,N/A,Dick Wolf,1
Lesli Linka Glatter,2,2,1999-09-27,E0903,A Single Life,N/A,Miriam Kazdin,1
Rick Rosenthal,3,3,1999-10-04,E0907,...Or Just Look Like One,N/A,Michael R. Perry,1
Richard Dobbs,4,4,1999-10-11,E0908,Hysteria,N/A,Dawn DeNoon & Lisa Marie Petersen,1
David Hugh Jones,5,5,1999-10-18,E0905,Wanderlust,N/A,Wendy West,1
Clark Johnson,6,6,1999-10-25,E0904,Sophomore Jinx,N/A,John Chambers,1
Michael Fields,7,7,1999-11-15,E0912,Uncivilized,N/A,Teleplay: Robert Palm & Wendy West Story: Robert Palm,1
Peter Medak,8,8,1999-11-22,E0911,Stalked,N/A,Roger Garrett,1
Constantine Makris,9,9,1999-11-29,E0914,Stocks & Bondage,N/A,Michael R. Perry,1
Steve Wertimer,10,10,2000-01-07,E0915,Closure (Part I),N/A,Wendy West,1
Michael Fields,11,11,2000-01-14,E0916,Bad Blood,N/A,Lisa Marie Petersen & Dawn DeNoon,1
Rick Rosenthal,12,12,2000-01-21,E0913,Russian Love Poem,14.30,Eva Nagorski,1
David Platt,13,13,2000-02-04,E0910,Disrobed,N/A,Janet Tamaro,1
Constantine Makris,14,14,2000-02-11,E0919,Limitations,N/A,Michael R. Perry,1
Ed Sherin,15,15,2000-02-18,E0918,Entitled,N/A,"Teleplay: Robert Palm & Wendy West Story: Dick Wolf, Robert Palm, & René Balcer",1
Jud Taylor,16,16,2000-02-25,E0920,The Third Guy,N/A,Dawn DeNoon & Lisa Marie Petersen,1
Richard Dobbs,17,17,2000-03-31,E0912,Misleader,N/A,Teleplay: Nick Kendrick Story: Nick Harding & Nick Kendrick,1
Richard Dobbs,18,18,2000-04-14,E0923,Chat Room,N/A,Roger Garrett,1
Michael Zinberg,19,19,2000-04-28,E0921,Contact,12.84,Robert Palm & Wendy West,1
Alexander Cassini,20,20,2000-05-06,E0924,Remorse,N/A,Michael R. Perry,1
Jean de Segonzac,21,21,2000-05-12,E0922,Nocturne,13.70,Wendy West,1
Ted Kotcheff,22,22,2000-05-19,E0926,Slaves,N/A,Dawn DeNoon & Lisa Marie Petersen,1
