Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. Viewers (millions),Written by,nth_season
Jean de Segonzac,1,67,2002-09-27,E3151,Chameleon,15.60,Michele Fazekas & Tara Butters,4
Constantine Makris,2,68,2002-10-04,E3105,Deception,15.20,Michele Fazekas & Tara Butters,4
Juan J. Campanella,3,69,2002-10-11,E3104,Vulnerable,15.91,Lisa Marie Petersen & Dawn DeNoon,4
Michael Fields,4,70,2002-10-18,E3102,Lust,15.10,Amanda Green,4
Alex Zakrzewski,5,71,2002-10-25,E3101,Disappearing Acts,16.50,Judith McCreary,4
Arthur W. Forney,6,72,2002-11-01,E3106,Angels,15.30,Jonathan Greene & Robert F. Campbell,4
Darnell Martin,7,73,2002-11-08,E3114,Dolls,16.80,Amanda Green,4
Donna Deitch,8,74,2002-11-15,E3111,Waste,16.10,Lisa Marie Petersen & Dawn DeNoon,4
Constantine Makris,9,75,2002-11-22,E3112,Juvenile,14.50,Michele Fazekas & Tara Butters,4
Joyce Chopra,10,76,2002-12-06,E3113,Resilience,16.20,Patrick Harbinson,4
Juan J. Campanella,11,77,2003-01-10,E3109,Damaged,16.60,Barbie Kligman,4
Juan J. Campanella,12,78,2003-01-17,E3115,Risk,16.30,Jonathan Greene & Robert F. Campbell,4
Constantine Makris,13,79,2003-01-24,E3119,Rotten,16.10,Judith McCreary,4
David Platt,14,80,2003-01-31,E3118,Mercy,15.50,Christos N. Gage & Ruth Fletcher,4
Alex Zakrzewski,15,81,2003-02-07,E3120,Pandora,15.50,Michele Fazekas & Tara Butters,4
Steve Shill,16,82,2003-02-14,E3121,Tortured,14.50,Lisa Marie Petersen & Dawn DeNoon,4
Jean de Segonzac,17,83,2003-02-21,E3122,Privilege,15.00,Patrick Harbinson,4
David Platt,18,84,2003-03-14,E3124,Desperate,N/A,Amanda Green,4
Alex Zakrzewski,19,85,2003-03-28,E3110,Appearances,N/A,"Teleplay: Stephen Belber Story: Liz Friedman, Vanessa Place, & Stephen Belber",4
Steve Shill,20,86,2003-04-04,E3123,Dominance,15.80,Jonathan Greene & Robert F. Campbell,4
Juan J. Campanella,21,87,2003-04-18,E3117,Fallacy,14.80,Teleplay: Barbie Kligman Story: Joshua Kotcheff & Barbie Kligman,4
Alex Zakrzewski,22,88,2003-04-25,E3125,Futility,13.50,Michele Fazekas & Tara Butters,4
Constantine Makris,23,89,2003-05-02,E3116,Grief,14.00,Adisa Iwa,4
Rick Wallace,24,90,2003-05-09,E3126,Perfect,12.90,Jonathan Greene & Robert F. Campbell,4
Chad Lowe,25,91,2003-05-16,E3127,Soulless,13.70,Lisa Marie Petersen & Dawn DeNoon,4
