Directed by,No. in series,Original airdate,Production code,Title,U.S. Viewers (millions),Written by,nth_season
Jean de Segonzac,1,"March 3, 2005 (2005-03-03)",E5701,"""The Abominable Showman""",17.29[2],Dick Wolf & James Grissom,1
Caleb Deschanel,2,"March 4, 2005 (2005-03-04)",E5707,"""41 Shots""",14.52[2],Walon Green,1
Dwight Little,3,"March 11, 2005 (2005-03-11)",E5712,"""Vigilante""",10.69[3],David Wilcox,1
Constantine Makris,4,"March 18, 2005 (2005-03-18)",E5703,"""Truth or Consequences""",11.54[4],Walon Green & David Wilcox,1
Michael Pressman,5,"March 25, 2005 (2005-03-25)",E5704,"""Baby Boom""",11.07[5],Tony Phelan & Joan Rater,1
Constantine Makris,6,"April 1, 2005 (2005-04-01)",E5710,"""Pattern of Conduct""",10.58[6],Walon Green & Pamela J. Wechsler,1
Caleb Deschanel,7,"April 8, 2005 (2005-04-08)",E5711,"""Bang & Blame""",11.38[7],Chris Levinson,1
David Platt,8,"April 15, 2005 (2005-04-15)",E5716,"""Skeleton""",13.19[8],David Wilcox,1
Richard Pearce,9,"April 22, 2005 (2005-04-22)",E5714,"""The Line""",10.08[9],Tony Phelan & Joan Rater,1
Joe Ann Fogle,10,"April 29, 2005 (2005-04-29)",E5713,"""Blue Wall""",9.59[10],Rick Eid,1
Caleb Deschanel,11,"May 3, 2005 (2005-05-03)",E5715,"""Day""",18.7[11],Chris Levinson,1
Aaron Lipstadt,12,"May 6, 2005 (2005-05-06)",E5706,"""Boys Will Be Boys""",9.82[12],Rick Eid,1
Joe Ann Fogle,13,"January 26, 2006 (2006-01-26)",E5705,"""Eros in the Upper Eighties""",N/A,Chris Levinson,1
