row_id|character_name|male|female
3|ADA Abbie Carmichael|1.0|1.0
4|ADA Alden|1.0|0.0
5|ADA Alex Cabot|1.0|1.0
10|ADA Casey Novak|1.0|1.0
11|ADA Connie Rubirosa|1.0|1.0
14|ADA Karen Fitzgerald|1.0|0.0
15|ADA Page Ferguson|1.0|0.0
18|ADA West|1.0|0.0
25|Abby|1.0|1.0
26|Abraham|1.0|0.0
31|Adam|1.0|0.0
32|Adam Cordell|1.0|0.0
33|Adam Halder|1.0|0.0
34|Adams High School|1.0|0.0
44|Agent Lockwood|1.0|0.0
46|Agent Porter|1.0|0.0
50|Albert|1.0|0.0
53|Alden|1.0|0.0
54|Alex|1.0|1.0
55|Alex Cabot|1.0|1.0
56|Alex Parven|1.0|1.0
57|Alexander|1.0|0.0
58|Alexander Strizhov|1.0|0.0
59|Alexandra Cabot|0.0|1.0
60|Alexandra Shabtai|0.0|1.0
61|Alfonso|1.0|0.0
63|Alice|0.0|1.0
64|Alice Murner|0.0|1.0
65|Alisha|0.0|1.0
66|Alisha Harding|0.0|1.0
67|Alma|0.0|1.0
68|Alma Cordoza|0.0|1.0
73|Alyssa|0.0|1.0
76|Amanda|0.0|1.0
78|Ambassador Andrew Raines|1.0|0.0
79|Amelia Chase|1.0|0.0
85|Amy|0.0|1.0
87|Andre Lasnik|1.0|0.0
88|Andrea|1.0|1.0
89|Andrea Brown|1.0|1.0
90|Andreas|1.0|0.0
91|Andrew|1.0|0.0
92|Andrew Croft|1.0|0.0
93|Andrew Green|1.0|0.0
94|Andrew Harlin|1.0|0.0
95|Andrew Raines|1.0|0.0
98|Andy|1.0|1.0
99|Andy Dell|1.0|1.0
100|Angel Rivera|1.0|1.0
101|Angela Jarrell|0.0|1.0
102|Angelina|0.0|1.0
103|Angelina Lupino|0.0|1.0
104|Angie|1.0|1.0
105|Angie Landricks|1.0|1.0
107|Ann|0.0|1.0
108|Anna|0.0|1.0
109|Anna Foust|0.0|1.0
110|Anna Freud|0.0|1.0
111|Anna Karenina|0.0|1.0
112|Anna McWilliams|0.0|1.0
113|Anna Rivera|0.0|1.0
114|Annabelle|0.0|1.0
115|Annabelle Hayes|1.0|0.0
116|Annabelle Paz|0.0|1.0
117|Anne|0.0|1.0
118|Annette|0.0|1.0
119|Annette Fox|1.0|0.0
120|Annie Tassler|0.0|1.0
123|Antonio|1.0|0.0
124|Antonio Montoya|1.0|0.0
125|Anya Rugova|0.0|1.0
129|April|0.0|1.0
135|Archibald Newlands|1.0|0.0
136|Ari Nathan|1.0|0.0
139|Arnold Cokely|1.0|0.0
141|Arthur|1.0|0.0
142|Arthur Branch|1.0|0.0
143|Arthur Esterman|1.0|0.0
144|Artie Cramer|1.0|0.0
145|Arturo|1.0|0.0
147|Ashley|1.0|1.0
148|Ashok Ramsey|1.0|0.0
157|Assistant Attorney Chris Danielson|1.0|1.0
158|Assistant Medical Examiner Justin|1.0|1.0
165|Audrey|0.0|1.0
166|Audrey Hale|1.0|0.0
167|Audrey Jackson|1.0|0.0
169|Austin|1.0|1.0
174|Babs|0.0|1.0
175|Babs Duffy|1.0|0.0
176|Baby Safe Haven|1.0|0.0
190|Barbie|0.0|1.0
192|Barnett|1.0|0.0
194|Barrett College|1.0|0.0
195|Barry|1.0|1.0
